Company,Founded,HeadQuarter,Sector,What it does,Founders,Investor,Amount($),Stage,year
Fyllo,2019.0,Bangalore,Technology,Fyllo brings farms on palms by installing on field devices and actions on top of this data.,"Sudhanshu Rai, Sumit Sheoran","Indian Angel Network, Titan Capital, Lead Angels",400000.0,Seed,2021
Cora Health,2020.0,Bangalore,Healthcare,Social Commerce Marketplace for health and wellness. Help people discover products suited to their health needs.,"Shrijit Venkatesh, Snigdha Kumar",Undisclosed,3000000.0,Seed,2021
Blaer Motors,2014.0,Chennai,Technology,Meant to augment human power and not completely replace it,Abinesh Ekambaram,The Chennai Angels,300000.0,Seed,2021
Swiflearn,2019.0,Gurugram,Education,Swiflearn provides online tuition classes to small batches to ensure personalised learning.,"Abhinav Agarwal, Anand Bakode","Venture Highway, Stellaris Venture Partners",3000000.0,Pre-series A,2021
Cashfree,2015.0,Bangalore,Financial Services,Cashfree is a payments and banking technology company that enables businesses in India to collect payments online and make payouts.,"Akash Sinha, Reeju Datta","State Bank of India, Y Combinator",3000000.0,Pre-series A,2021
QuickSell,2017.0,Mumbai,Retail and E-Commerce,B2B Mobile Commerce Platform,Deepak Bhagchandani,"Sanjay Baldwa, Ajay Jain",2000000.0,Pre-series A,2021
Truemeds,2019.0,Mumbai,Healthcare,Truemeds is a health-tech startup.,"Akshat Nayyar, Kunal Wani",InfoEdge,5000000.0,Series A,2021
Candes,2015.0,New,Retail and E-Commerce,Candes is a home appliances company providing a complete range of home & kitchen electrical appliances at affordable prices.,"Sandeep Aggarwal, Vipin Aggarwal","Nitin Passi, Ruchirans Jaipuria",3000000.0,Series A,2021
MediBuddy,2000.0,Bangalore,Healthcare,"MediBuddy is a digital healthcare platform for inpatient hospitalization, outpatient services, and corporate wellness benefits.","Satish Kannan, Enbasekar","Stride Ventures, InnoVen Capital",3000000.0,Series A,2021
F5,2018.0,New,Hospitality and Tourism,F5 is a foods and beverages company.,"Lalit Aggarwal, Raghav Arora","Venture Catalysts, Jeevak Gupta",300000.0,Pre-series A,2021
Capital Float,2013.0,Bangalore,Financial Services,Capital Float is an online platform that provides working capital finance to SMEs in India.,"Gaurav Hinduja, Sashank Rishyasringa","Triodos Investment Management, SAIF Partners",6000000.0,Pre-series A,2021
IntelleWings,2019.0,Panchkula,Technology,"IntelleWings develops Sanctions & Anti-money laundering solutions with a clear, concise, and fresh perspective.",Pramod Sharma,Undisclosed,100000.0,Seed,2021
Shyplite,2016.0,New,Hospitality and Tourism,Enable E-retailers to automate their logistics and increase efficiency in shipments by providing a single window shipping platform,"Nisschal Jain,  Sugam Jain, Parinay Itkan",N+1 Capital,1000000.0,Seed,2021
Refyne,2020.0,Bangalore,Financial Services,Refyne partners with organisations to extend on-demand Earned Wage Access (EWA) to employees.,"Chitresh Sharma, Apoorv Kumar","DST Global, RTP Global",20000000.0,Series A,2021
Greenjoules,2018.0,Pune,Energy,Greenjoules is a green energy technology startup that specializes in making renewable biofuels.,"R. Sethunath, V S Shridhar, V. Radhika, Viraraghavan Sankaran",Blue Ashva Capital,4500000.0,Series A,2021
MentorKart,2018.0,New,Professional Services,MentorKart™ helps to fulfil dreams and take that big step towards success.,"Ashish Khare, SK Mohanty","Amit Singal, Manish Aggarwal",150000.0,Seed,2021
Leverage Edu,2017.0,New,Education,AI-enabled marketplace designed to help students with their higher education and career growth plans,Akshay Chaturvedi,"Trifecta Capital Advisors, Blume Ventures",2000000.0,Series B,2021
Kale Logistics,2010.0,Thane,Hospitality and Tourism,Kale Logistics Solutions is a global IT solutions provider focused on providing cutting-edge technology solutions to the Logistics industry.,"Amar More, Vipul Jain",Inflexor Ventures,5000000.0,Series A,2021
CustomerGlu,2016.0,Bangalore,Other,CustomerGlu is a Low code Interactive Engagement platform to improve user stickiness.,"Prateek Gupta, Raman Shrivastava, Sumant US","Kumar Aakash, Amit Singhal",320000.0,Series A,2021
Cell Propulsion,2016.0,Bangalore,Technology,Cell Propulsion is a fleet electrification company developing solutions for large scale electrification of commercial vehicle fleets.,"Nakul Kukar, Paras Kaushal",growX ventures,2000000.0,Series A,2021
Wellbeing Nutrition,2019.0,Mumbai,Healthcare,Organic whole food nutrition to keep up with the pace at which we live,Avnish Chhabria,Klub,3000000.0,Series A,2021
Pee Safe,2013.0,Gurugram,Healthcare,Redcliffe Hygiene Private Limited is India's fastest growing hygiene company.,"Dheeraj Jain, Srijana Bagaria, Vikas Bagaria","Shaival Desai, Alkemi Venture Partners",3000000.0,Pre-series B,2021
Chqbook,2017.0,New,Financial Services,"Chqbook is a fintech startup that allows customers to explore, compare, book and get personal finance products.","Mohit Goel, Rajat Kumar, Sachin Arora, Vipul Sharma","Aavishkaar Venture Capital, YWC Venture Capital",1000000.0,Pre-series B,2021
SimpliContract,2020.0,Bangalore,Technology,"SimpliContract is an Enterprise SaaS offering, focused on end to end Contract Life-cycle Management.","Guru Venkatesan, Jinaraj PG, Makesh Kumar",Kalaari Capital,1800000.0,Seed,2021
Dropshop,2019.0,Bangalore,Hospitality and Tourism,Building technology to make distribution efficient and cheaper for large and small FMCG companies,"Udit Dhawan, Rohit Fernandes, Ravi Teja",Inflection Point Ventures,1000000.0,Pre-series A,2021
Jumbotail,2015.0,Bangalore,Retail and E-Commerce,Jumbotail is an operator of an online marketplace that simplifies food and grocery shopping.,"Ashish Jhina, Karthik Venkateswaran",Alteria Capital,4000000.0,Series B,2021
BYJU'S,2011.0,Bangalore,Education,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,"Byju Raveendran, Divya Gokulnath","Tiga Investments, Baron Capital",350000000.0,Series B,2021
Power Gummies,2018.0,New,Healthcare,Power Gummies are a team of passionate givers who are dedicated to catering nutritional supplements,Divij Bajaj,"Venture Catalysts, 9unicorns",1000000.0,Series B,2021
Convosight,2019.0,New,Technology,A mission - to help community builders become community entrepreneurs.,Tarun Dhamija,Qualgro,9000000.0,Series A,2021
Junio,2020.0,New,Financial Services,Junio is a kids-focused digital pocket money-smart card.,Ankit Gera,"Amit Lakhotia, Pravin Jadhav",600000.0,Seed,2021
Wherehouse.io,2020.0,New,Hospitality and Tourism,"Wherehouse.io is a supply chain intelligence company, helping brands to move closer to their customers enabling faster and better deliveries and accelerating business growth.","Vaibhav Chawla, Jeevan Prakash, Lavelesh Sharma",Better Capital,3000000.0,Seed,2021
Flexmoney,2015.0,Mumbai,Financial Services,"Flexmoney’s mission is to address the enormous digital credit market opportunity created by the disruption from e-commerce, EMI and BNPL checkout finance",Yezdi Lashkari,Pravega Ventures,4800000.0,Series A,2021
Fampay,2019.0,Bangalore,Financial Services,India's first numberless card and UPI without a bank account,"Kush Taneja, Sambhav Jain","Greenoaks Capital, Elevation Capital",38000000.0,Series A,2021
Apna,2019.0,Bangalore,Other,India's Professional App - Apna is dedicated to solving the problem of unemployment at the grassroot level,Nirmit Parikh,"Sequoia Capital India, rocketship.vc",70000000.0,Series B,2021
XYXX Apparels,2017.0,Surat,Retail and E-Commerce,"XYXX Apparels,which runs an eponymous innerwear brand",Yogesh Kabra,Undisclosed,4000000.0,Series A,2021
WaterScience,2014.0,Bangalore,Technology,The aim of making good water affordable and accessible.,Sudeep N,Undisclosed,3000000.0,Series A,2021
BrowserStack,2011.0,Mumbai,Technology,BrowserStack is a leading software testing platform powering over two million tests every day across 15 global data centres.,"Nakul Aggarwal, Ritesh Arora",Accel,200000000.0,Series B,2021
Vital,2018.0,New,Technology,"An affordable, digital health plan built around to cover both big and small expenses",Rahul Kumar,BLinC Invest,3000000.0,Pre-series A,2021
Juicy chemistry,2014.0,Coimbatore,Healthcare,Juicy Chemistry operates as an eponymous consumer brand.,"Megha, Pritesh Asher",Spring Marketing Capital,3000000.0,Pre-series A,2021
Samaaro,2020.0,Bangalore,Technology,"Samaaro is a virtual event platform designed to help organizations host scalable, secure, and effective virtual events for a global audience","Mayank Banka, Purnank Prakash, Skandha Gopalan","Chaitanya Kalipatnapu, Kedar Gavane",125000.0,Pre-series A,2021
Imagimake,2011.0,Mumbai,Other,An innovative play system to help children create their imagination,"Disha Katharani, Ravi Kumar","Roha Investment Managers, angel investor Saumil Shah",500000.0,Pre-series A,2021
MSMEx,2019.0,Andheri,Education,MSMEx connects micro and small Business Owners with curated Business Experts over live video.,"Amit Kumar, Vishal Kumar, Dilip Kumar, Khushboo Arora, Kumar Sambhav","TNF Ventures, Razorpay",1000000.0,Pre-series A,2021
RenewBuy,2015.0,Gurugram,Technology,Simplest way to renew car insurance. Get quote and insure car in couple of minutes,"Balachander Sekhar, Sandeep Nanda","Lok Capital, IIFL Asset Management",45000000.0,Series C,2021
saarthi.ai,2017.0,Bangalore,Technology,Multilingual Conversational Enterprise AI Platform for omnichannel automation of customer journeys in the user's native language.,"Piyush Dangaich, Sameer Sinha, Sangram Sabat, Vishwa Nath Jha",Nvidia Inception,3000000.0,Seed,2021
Kutumb,2020.0,Bangalore,Technology,Kutumb is a social community enabler.,"Mohit Sharma, Naveen Dewangan, Vipul Allawadhi","Tiger Global Management, DST Global",26000000.0,Series A,2021
Superplum,2019.0,Noida,Technology,Building India's most sophisticated platform for high quality fresh food,Shobhit Gupta,Marquee investors,3800000.0,Pre-series A,2021
Upside AI,2017.0,Mumbai,Financial Services,Upside AI on the thesis that technology will make better investing decisions than humans over the long term.,"Kanika Agarrwal, Nikhil Hooda, Atanuu Agarrwal",Endiya Partners,1200000.0,Seed,2021
PazCare,2021.0,Bangalore,Technology,Paz Care is India's leading Employee Benefits & Health insurance platform,Sanchit Malik,"Ashish Hemrajani, Parikshit Dar",3000000.0,Seed,2021
Answer Genomics,2019.0,Bangalore,Healthcare,A healthcare company that uses genome-based data to help individuals make decisions.,Rahul Ranganathan,"India Accelerator, Lyxel&Flamingo",3000000.0,Seed,2021
Skillmatics,2016.0,Mumbai,Education,Skillmatics develops learning games for pre-school and primary school kids aged under 10,Dhvanil Sheth,Sequoia Capital India,6000000.0,Series A,2021
Bimaplan,2020.0,Bangalore,Technology,Affordable insurance for the next billion Indians,Vikul Goyal,"Roshan Abbas, Ritesh Malik",2500000.0,Pre-series A,2021
Bueno Finance,2019.0,Gurugram,Financial Services,"Bueno Gig Growth Technologies Pvt Ltd (""Bueno Finance"") is a financial services platform which aims is to help improve the financial health of customers.","Saurav Gandhi, Sandeep Arora","Goat Capital, JAM Fund",3000000.0,Seed,2021
CityMall,2019.0,Gurugram,Retail and E-Commerce,CityMall is a social e-commerce platform that sells lifestyle and curated products via peer-to-peer referrals on WhatsApp.,"Angad Kikla, Naisheel Verdhan","General Catalyst, Jungle Ventures",22000000.0,Series B,2021
BYJU’S,2011.0,Bangalore,Education,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,"Byju Raveendran, Divya Gokulnath","Blackstone Group, ADQ",50000000.0,Series B,2021
India Quotient,2012.0,Mumbai,Financial Services,India Quotient is a new type of early stage investor. We fund companies building disruptive businesses aimed at Indian consumers. We're,"Anand Lunia, Madhukar Sinha",Undisclosed,64000000.0,Series B,2021
The Switch Fix,2019.0,Gurugram,Healthcare,The Switch Fix is a plant-based clean and conscious personal care brand for young urbans.,"Abhishek Kumar, Rhea Shukla","Venture Catalysts, 9unicorns",3000000.0,Seed,2021
Anvidha Technologies,2020.0,Haryana,Technology,Anvidha Technologies Private Limited is a HARYANA based private ltd.,Ganesh ranganathan iyer,Undisclosed,1500000.0,Seed,2021
DigiSparsh,2020.0,Mumbai,Financial Services,DigiSparsh is India's first and only healthcare fintech platform which aims to make healthcare facilities accessible to everyone in the country.,"Saurabh Soni, Akhilesh Gandhi",GoAhead Ventures,3000000.0,Seed,2021
CoffeeMug.ai,2020.0,New,Other,"A video first global platform of senior professionals, connecting 1:1, virtually or over coffee, building a powerful, long-lasting relationship.","Abhishek Sharma, Dipti Tandon","Paradigm Shift Capital, AngelList India",620000.0,Pre-seed,2021
Pathfndr.io,2015.0,Bangalore,Technology,Intelligent Travel Tech Stack making sense of the world's information by scanning billions of data points and ranking destinations,Varun Gupta,Arali Ventures,3000000.0,Pre-series A,2021
BigLeap,2015.0,Hyderabad,Technology,BigLeap Technologies & Solutions is focused on providing viable offshore consultancy services for enterprises looking to grow their business.,"Jamesh Johnson, Sainath Malkapuram Goud",Anup Kumar Yama,600000.0,Pre-series A,2021
Kazam,2020.0,Bangalore,Technology,"Kazam provides end to end Electric Vehicle charging solutions for Office Spaces, Apartments, Restaurants, Shops","Akshay Shekhar, Vaibhav Tyagi",Inflection Point Ventures,900000.0,Seed,2021
MYRE Capital,2020.0,Mumbai,Real Estate,Democratising Real Estate Ownership,Own rent yielding commercial properties,Aryaman Vir,3000000.0,$6000000,2021
BimaPe,2020.0,Mumbai,Financial Services,BimaPe demystifies Insurance and its Management for individuals and families across India. 'BimaPe Bharosa Karo',Rahul Mathur,"iSeed, Titan Capital",500000.0,Pre-seed,2021
MicroDegree,2019.0,Mangalore,Education,MicroDegree is an ed-tech platform working towards democratising technology and job ready skills for Bharat.,"Gaurav Kamath, Rakesh Kothari, Manikanta Nair",Research Innovation Incubation Design Labs,3000000.0,Pre-seed,2021
Saarthi Pedagogy,2015.0,Ahmadabad,Education,"India's fastest growing Pedagogy company, serving to school as an academic growth partner and provide 360° solutions to schools on Academic Strategies",Pedagogy,Sushil Agarwal,3000000.0,$1000000,2021
Synapsica,2017.0,New,Healthcare,Artificial Intelligence tools to make quality diagnostic assessment available for all.,"Meenakshi Singh, Dr Cherian, Kuldeep Singh Chauhan","IvyCap Ventures, Endiya Partners",4000000.0,Series A,2021
Kwik Foods,2020.0,Gurugram,Hospitality and Tourism,Kwik Foods is one of the fastest-growing D2C fresh food brands that is disrupting the food industry,"Prabhleen Kaur, Harshal Patel",9Unicorns,3000000.0,Seed,2021
Plutomen,2016.0,Ahmadabad,Technology,Plutomen Technologies Pvt Ltd founded in Nov 2016 is recognized start-up by DIPP in the field of Emerging Technology.,Keyur Bhalavat,"GUSEC Seed Fund, DeVX Venture Fund",300000.0,Seed,2021
GoMechanic,2016.0,Gurugram,Hospitality and Tourism,"GoMechanic is India’s leading multi-brand car service company, committed to making the car servicing experience hassle-free & easy for everyone.",Kushal Karwa,"Tiger Global, Sequoia",42000000.0,Series C,2021
Grinntech,2013.0,Chennai,Hospitality and Tourism,"Grinntech is an investor backed, growth phase start-up, leading on all front of battery design for EV applications.","Nikhilesh Mishra, Puneet Jain",Undisclosed,2000000.0,Series C,2021
